student_id,exercise_ids,solving_times,results,community
10,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 60, 61, 62, 63, 82, 83, 94, 101, 104]","[2204, 458, 344, 1929, 1504, 2371, 2362, 2391, 2863, 2401, 3114, 698, 3842, 2656, 259, 332, 2169, 1077, 665, 1068, 3331, 3475, 3254, 982, 4136, 6501, 5406, 3203, 1433, 1540, 2286, 2774, 5908, 3855, 4410, 1151, 3215, 2150, 4209, 4347, 5211]","[True, True, False, True, False, True, True, True, True, False, True, True, False, True, False, True, False, True, False, True, True, True, True, False, True, True, False, True, True, True, False, True, False, True, True, True, False, True, True, True, False, False, False, True, True, True, False, True, False, True, False, True, True, True, False, True, True, True, True, True]",4
11,"[0, 1, 2, 3, 4, 31, 32, 33, 34, 35, 41, 49, 101]","[1198, 552, 365, 949, 692, 1162, 2441, 4133, 2588, 5574, 4035, 2723, 6065]","[True, True, True, True, True, True, True, True, True, True, True, True, False, False, True]",5
12,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 32, 36, 39, 41, 54, 55, 56, 82, 83, 94]","[3416, 1475, 1463, 2602, 1995, 1227, 408, 3115, 2617, 3584, 1558, 1273, 5959, 5008, 1550, 2890, 5686, 5509, 1783, 4471, 3758, 3588, 2657, 3907]","[False, True, True, True, False, True, True, True, False, True, True, True, True, False, False, True, False, False, False, True, True, True, True, True, True, True, False, False, False, False, False, True, True, False, True, False, False, True, False, False, True, False, True]",3
13,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 32, 35, 36, 39, 42, 43, 44, 47, 49, 54, 55, 61, 62, 63, 82, 94]","[1776, 600, 394, 1253, 896, 808, 445, 3397, 3304, 3827, 1287, 724, 2432, 529, 1617, 4907, 2562, 4944, 3127, 451, 6179, 1541, 5015, 1581, 4588, 3584, 5453, 1360, 3181, 4577]","[True, True, True, True, True, True, True, True, False, False, True, True, False, True, True, False, False, True, False, True, False, False, False, True, False, False, True, True, False, False, False, True, False, True, True, True, False, True, True, True, True, False, True, False, True, True, True, False, False, False, True]",3
14,"[0, 1, 2, 3, 4, 5, 7, 9, 14, 34, 43]","[5878, 2680, 3795, 3908, 4685, 1608, 985, 6027, 3662, 5134, 5967]","[False, False, False, False, False, False, False, False, True, False, False, True, True, True, True, True, True, True, True, False, False, False, True, True]",1
15,"[0, 1, 2, 3, 4, 7, 31, 32, 34, 36, 43, 44, 47, 55, 56, 62, 63]","[2703, 1556, 750, 2821, 3269, 216, 4057, 3760, 6363, 4236, 976, 5997, 2471, 4695, 3566, 5067, 1914]","[True, False, True, False, True, True, True, True, False, False, False, False, False, False, True, False, True, True, True, False, False, True, True, False, False, False, True, True, True, True, True, False]",2
16,"[5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 66, 70, 71, 73, 74, 82, 83, 93, 94, 101, 104]","[1117, 592, 3889, 3168, 4122, 2641, 1264, 2953, 1941, 376, 994, 1740, 743, 972, 853, 5325, 2821, 3494, 2329, 1698, 901, 2571, 3192, 3707, 1320, 1346, 806, 1332, 1999, 3108, 4987, 3732, 4194, 2871, 4180, 1858, 3955, 3751, 3827, 1777, 3347, 2187, 1656, 5074, 1034, 2433, 3739]","[True, True, False, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, False, True, True, True, False, False, False, False, True, True, True]",4
17,"[0, 1, 2, 3, 4, 7, 18, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 47, 49, 54, 55, 56, 60, 61, 62, 63, 83]","[5097, 3963, 2135, 4543, 4019, 1366, 1971, 570, 1296, 4097, 1602, 1997, 3134, 5652, 5246, 3784, 1263, 2033, 2833, 2760, 2599, 3746, 3434, 3928, 2495, 1140, 3489]","[True, False, False, False, True, True, True, True, True, False, False, True, True, False, True, True, True, True, False, True, False, False, True, True, False, True, True, True, True, True, False, False, True, True, True, True, True, True, True]",3
18,"[0, 1, 2, 3, 4, 5, 7, 14, 22, 31, 32, 34, 36, 39, 43, 55, 61, 62, 63, 73, 94]","[4708, 5279, 1309, 3652, 2678, 1165, 3802, 4001, 4405, 529, 587, 5551, 2393, 3983, 12, 2673, 4689, 5949, 4683, 2537, 4816]","[False, True, False, False, True, True, True, False, True, False, True, False, False, True, False, True, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, True, False, True, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, False, True, True, False]",0
19,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 14, 18, 54, 61, 62, 63]","[3888, 1926, 1371, 3268, 2522, 1362, 741, 6009, 4444, 2825, 5813, 2742, 4145, 4912, 1352]","[False, False, False, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, False, False, True, False, False, True, False, False, False, False, True, True]",5
20,"[0, 1, 2, 3, 4, 5, 7, 8, 14, 18]","[4175, 2161, 948, 3341, 2591, 3025, 964, 6547, 4970, 5921]","[True, False, False, False, False, True, True, True, True, False, True, False, True, False, True, True, True]",1
21,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 31, 32, 33, 34, 35, 39, 41, 43, 49, 54, 55, 56, 62, 63, 82, 101]","[4026, 3989, 3980, 4018, 4004, 3019, 847, 4254, 4742, 5827, 2600, 483, 1237, 3599, 2786, 1670, 3219, 2575, 253, 2465, 1781, 2696, 3697, 2357, 1484, 2223, 4882]","[True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, True, True, True, False, True, True, False]",3
22,"[0, 1, 2, 3, 4, 5, 7, 14, 18, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 44, 47, 49, 55, 60, 62, 63, 71, 73]","[4853, 3525, 2331, 4601, 2753, 2487, 1619, 5799, 1335, 746, 988, 5109, 6189, 2379, 2744, 5458, 4463, 3486, 1096, 4846, 2188, 3070, 4145, 5036, 3343, 2019, 5290, 3385]","[True, False, True, False, True, False, True, True, True, True, False, False, False, False, False, False, False, True, True, False, True, False, True, True, True, True, False, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, False, False, True, True]",3
23,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 44, 47, 49, 60, 61, 62, 63, 101]","[4270, 1641, 1030, 3471, 2525, 1546, 1090, 4714, 3800, 6133, 2934, 1466, 785, 1967, 4234, 1954, 2353, 3211, 6043, 4525, 3486, 1094, 4657, 1950, 3339, 4268, 6452, 2918, 2204, 6499]","[False, True, True, True, True, True, False, True, True, False, True, True, True, False, False, True, True, True, False, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, False, False, True, True, True, True, False]",3
24,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 44, 45, 47, 49, 61, 62, 63, 66, 71, 73, 83, 101]","[5772, 3051, 1761, 4639, 3719, 3434, 920, 5645, 4730, 6456, 3561, 2104, 4812, 729, 792, 4491, 1496, 2012, 1699, 3747, 4498, 2666, 844, 4085, 5353, 1817, 2767, 4250, 5189, 3695, 4594, 5000, 3269, 2793, 5965]","[True, True, True, True, True, True, False, False, False, True, True, True, True, True, False, True, True, True, True, False, True, True, True, False, True, True, True, True, False, True, False, False, True, True, True, True, True, True, False, False, False, True, True, True, False, False, False, True, False, True, False, True, False, False]",4
25,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 47, 49, 54, 82]","[4252, 3005, 2989, 3542, 3293, 1067, 1058, 3789, 3292, 4510, 1767, 677, 4129, 897, 675, 3891, 2178, 2616, 1130, 2380, 4316, 1933, 4382, 635, 3373, 3194, 4437, 5139]","[True, True, False, True, True, True, True, True, True, False, True, True, False, False, False, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True]",3
26,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 47, 49, 54, 55, 56, 60, 61, 62, 63, 64, 82, 83, 94, 101]","[4508, 2447, 1505, 3797, 2996, 1563, 819, 4787, 4051, 5773, 2783, 2842, 4812, 574, 867, 3532, 1261, 1697, 1440, 3240, 4780, 2320, 1541, 433, 3028, 1024, 2267, 1033, 1985, 3057, 3497, 1693, 2293, 1089, 5407, 5321, 3733, 4152, 4671]","[True, True, True, True, True, True, True, False, False, True, True, True, False, True, False, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True]",4
27,"[1, 2, 3, 4, 5, 7, 14, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 45, 47, 49, 54, 62, 63, 83, 94]","[3925, 2858, 5617, 3961, 3623, 3283, 4434, 700, 1186, 6198, 2184, 2912, 1908, 5495, 4232, 2909, 510, 5045, 1389, 3684, 2444, 6466, 3715, 4155, 5365]","[False, False, True, False, True, True, False, True, False, True, False, True, True, False, True, False, True, False, False, True, False, True, True, False, True, False, False, False, False, True, True, True, True, True, True, False, True, False, True, False, True, False, False, False, False, True, False, False, False, True, False, False, False, False, True]",3
28,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 82, 83, 101, 104]","[1196, 483, 280, 890, 705, 627, 1893, 1488, 1158, 2254, 939, 275, 3402, 1253, 186, 324, 1338, 1792, 810, 847, 3895, 1579, 2129, 1434, 431, 22, 866, 2290, 2681, 1735, 1123, 1407, 4130, 1591, 4399]","[True, True, True, True, True, False, False, True, False, True, True, True, False, True, False, False, True, True, True, True, False, False, False, False, True, False, False, False, False, True, True, True, False, False, False, True, False, True, True, True, True, True, True, False, True, True, True, False, True, True, False, True, False, True, False, True, False, False, False, False, True, False, False, True]",4
29,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 14, 18, 31, 32, 34, 35, 36, 39, 41, 43, 47, 49, 54, 55, 56, 62, 63]","[3920, 1683, 1270, 3996, 2652, 2420, 2410, 4655, 6090, 4748, 4071, 1763, 748, 4083, 5494, 4377, 5471, 3483, 1031, 2447, 5995, 2042, 3669, 5682, 4831, 3618]","[True, True, False, False, True, False, True, True, False, False, False, False, False, True, True, False, False, True, True, False, True, True, False, False, False, True, False, False, True, False, True, True, True, False, True, True, True, True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, True, True]",3
30,"[0, 1, 2, 3, 4, 18, 31, 32, 33, 34, 35, 36, 41, 42, 43, 47, 49, 61, 62, 63, 73, 74]","[5737, 3364, 1871, 5757, 3639, 4539, 663, 636, 2989, 4636, 1650, 1412, 6050, 5332, 910, 2723, 2183, 4844, 5248, 2269, 3824, 5729]","[True, False, False, True, False, True, True, True, True, True, False, False, True, True, True, False, True, False, True, True, False, False, False, False, False, False, True, True, True, False, False, True, False, False, False, False, True, True, True, True, False, True]",3
31,"[0, 1, 5, 31, 35, 43, 47, 49]","[4113, 1777, 1887, 1320, 3928, 928, 3944, 4655]","[False, True, False, False, True, False, True, False, False, False, False, False, True, False, True, True, True, True, False, False, False, False, False]",5
32,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 32, 33, 34, 35, 36, 39, 42, 43, 44, 46, 47, 49, 54, 55, 56, 57, 60, 61, 62, 63, 64, 70, 73, 82, 83, 94, 101]","[1891, 750, 845, 2967, 1102, 483, 266, 5990, 2604, 5050, 5291, 2509, 5619, 504, 253, 3827, 1022, 1406, 2611, 2371, 2571, 1605, 4204, 5447, 1756, 1854, 802, 1120, 2563, 5379, 3397, 1377, 1839, 720, 6118, 5489, 2366, 3773, 3292, 2909, 5144]","[False, True, True, True, False, True, False, False, False, False, True, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, False, True, True, False, True, True, True, False, True, False, False, False, True, True, True, True, False, False, True, True, False, True, True, True, False, True, True, True, False, True, False, True, True, True, True, True, True, True, True]",4
33,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 44, 45, 47, 49, 54, 55, 56, 60, 61, 62, 63, 66, 70, 82, 83, 94, 101]","[2378, 1364, 543, 1744, 1405, 1262, 1308, 3343, 2728, 3680, 2817, 657, 2359, 249, 794, 3691, 738, 974, 1206, 4035, 2856, 3975, 736, 4081, 5420, 987, 1322, 1412, 3197, 4053, 5493, 3406, 3482, 991, 6302, 3592, 6326, 1686, 1353, 4436]","[True, False, True, True, True, True, True, True, False, True, True, True, True, False, False, True, True, True, False, True, False, True, False, True, True, True, False, False, True, True, True, True, False, False, True, True, False, True, True, False, False, False, False, False, False, True, True, False, True, True, False, False, True, True, False, False, False, True, True, True, True, True, True, False, True]",4
34,"[5, 7, 8, 9, 10, 14, 18, 24, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 44, 47, 49, 54, 55, 61, 62, 63, 70, 83, 94]","[1638, 1623, 5943, 3579, 5349, 2143, 2436, 4462, 981, 873, 3931, 1897, 2287, 2591, 4590, 3822, 3561, 1076, 5551, 2340, 2945, 2868, 3427, 4820, 3326, 991, 5771, 3502, 2663]","[True, True, True, True, False, True, False, False, True, False, True, True, True, False, True, False, True, True, True, False, True, True, False, False, True, False, True, True, True, True, True, False, False, True, True, True, False, False, False, False, True, False, False, True, False, False, True, True, False, True]",3
35,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 34, 35, 36, 39, 41, 42, 43, 44, 46, 47, 49, 54, 57, 60, 62, 63, 71, 72, 73, 74, 82]","[3992, 2294, 949, 3463, 2547, 1210, 680, 4388, 3378, 4838, 2340, 1247, 6444, 4823, 773, 810, 1580, 2072, 1606, 2905, 2317, 1630, 500, 3067, 4252, 967, 2786, 1739, 5788, 4234, 4444, 912, 2416, 6248, 1289, 3204, 5442]","[True, False, False, True, True, False, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, False, False, True, False, True, True, True, True, False, False, True, False, False, False]",4
36,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 59, 60, 61, 62, 63, 64, 71, 73, 74, 82, 83, 101, 104]","[2355, 738, 496, 1820, 1005, 525, 275, 1862, 1423, 2158, 863, 2419, 3790, 2228, 275, 1230, 1697, 815, 1016, 1015, 2234, 3079, 1911, 1240, 172, 1982, 3068, 4238, 739, 1303, 1062, 1536, 2254, 5389, 4147, 2001, 2725, 1081, 6464, 2091, 1087, 3459, 2926, 1805, 2131, 4884]","[True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, False, True, False, True, True, True, True, True, True, True, True]",4
37,"[0, 1, 2, 3, 4, 5, 7, 14, 18, 31, 34, 35, 43, 47, 49, 54, 55, 83]","[3956, 1263, 863, 2595, 1764, 1362, 869, 5421, 1453, 3394, 4624, 5277, 2694, 4676, 5835, 2780, 4330, 4446]","[False, True, True, True, True, True, True, True, False, False, True, False, True, False, False, True, True, False, True, True, True, True, True, True, True, False]",0
38,"[0, 1, 2, 3, 4, 18, 22, 24, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 58, 60, 61, 62, 63, 64, 66, 71, 72, 73, 74, 82, 83, 94, 101, 104]","[2353, 1130, 894, 2588, 1934, 269, 2867, 1935, 436, 504, 3143, 742, 1013, 1315, 2193, 3202, 1566, 1597, 236, 2418, 3830, 3174, 690, 1344, 1350, 1910, 2192, 6049, 4628, 1799, 1247, 1612, 683, 2766, 5373, 1783, 5145, 1125, 2364, 2299, 4354, 2367, 3071, 5098]","[False, True, True, False, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, False, False, True, True, True, False, False, True, True, True, True, True, True, False, True, False, False, True, True, True, False, True, False, True, True, False, False, True, False, False, False, True, True, True, True, True, False, True, True, True, True, True, False, True, True]",4
39,"[0, 1, 2, 3, 4, 18, 24, 31, 32, 33, 34, 35, 36, 41, 42, 43, 44, 47, 49, 60, 61, 62, 63, 73, 74, 82, 83, 101]","[5232, 1761, 1090, 4176, 2302, 785, 3913, 661, 1314, 3801, 1423, 1679, 2191, 4718, 2360, 4972, 5248, 1490, 2029, 4305, 2550, 3515, 1237, 2314, 3248, 6297, 3439, 5655]","[False, True, True, True, False, True, True, True, False, True, True, True, True, False, False, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True]",3
40,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 31, 32, 33, 34, 35, 36, 39, 43, 49, 54, 62, 63, 83]","[4364, 2061, 1726, 2946, 3211, 1671, 987, 4596, 3568, 5581, 3085, 3612, 612, 1823, 5269, 2150, 2642, 3122, 6071, 2371, 3618, 3948, 5988, 2994, 5833]","[False, True, True, False, True, True, True, True, True, False, False, True, True, True, False, False, True, True, True, False, True, True, True, True, False, False, True, False, False, False, False, False, False, True, True, False, False, True, False, False, False, True, False, False, True, False, False, False, False, False, False, True, True, False, False]",3
41,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 47, 49, 54, 55, 56, 60, 61, 62, 63, 66, 94, 101]","[5190, 2234, 1451, 3436, 2973, 2671, 2097, 5380, 3988, 5884, 3052, 3644, 445, 658, 4314, 2572, 2093, 1188, 4205, 6553, 3056, 1947, 366, 3285, 935, 3066, 1127, 1739, 3462, 4511, 5303, 3095, 646, 5733, 3960, 6052]","[True, False, True, False, True, True, True, False, True, False, True, False, False, True, True, True, False, False, True, False, True, True, False, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, False, True, True]",4
42,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 44, 45, 47, 49, 55, 60, 61, 62, 63, 73, 82, 83, 94, 101]","[3132, 1621, 647, 3398, 2098, 994, 391, 5627, 3587, 5184, 1487, 508, 4737, 2978, 584, 397, 3930, 1516, 1815, 871, 2275, 1887, 3505, 252, 4993, 5544, 699, 2423, 2893, 4457, 3538, 3788, 766, 1985, 3901, 2676, 3457, 6532]","[True, False, False, True, True, False, True, True, True, True, True, False, True, False, False, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, False, True, True, True, False, True, False, False, True, False, False, False, True, True, True, False, True, True]",4
43,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 70, 71, 72, 73, 74, 82, 83, 94, 101, 104]","[2251, 1116, 778, 1838, 1429, 1015, 567, 2805, 2307, 3083, 1511, 487, 2565, 1615, 302, 412, 1786, 1414, 839, 708, 1599, 2620, 1355, 1290, 288, 2108, 2612, 3235, 563, 1257, 941, 1417, 1942, 2889, 4963, 3313, 2097, 1436, 1745, 804, 4342, 3612, 4591, 1757, 4135, 1135, 2300, 1914, 1159, 2789, 2113, 5004]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, True]",4
44,"[0, 1, 2, 3, 4, 5, 7, 18, 24, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 44, 47, 49, 54, 55, 56, 61, 62, 63, 73, 82, 83, 94]","[4348, 3002, 1432, 3770, 3361, 5804, 906, 1432, 3794, 5665, 1339, 3440, 1558, 1937, 1223, 4241, 3886, 3317, 493, 4498, 2077, 2883, 2981, 4366, 5335, 4618, 5495, 4676, 3101, 5610, 3002, 4222]","[False, False, False, True, True, True, True, True, True, False, False, False, True, False, False, True, True, True, False, False, True, False, False, False, True, False, True, False, True, True, False, False, True, False, False, False, False, False, True, True, True, True, True, True, True, True, False, True, True, True, False, False, True, True, True, False, True, False, False, False, False, False, True, False, False, False]",3
45,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 59, 60, 61, 62, 63, 71, 73, 74, 82, 83, 94, 101]","[2516, 1211, 832, 2183, 1609, 1835, 571, 4055, 4885, 4418, 2138, 999, 4411, 5612, 340, 613, 2295, 891, 1271, 6563, 5532, 4756, 1618, 139, 2692, 4295, 5197, 584, 1750, 904, 1423, 2544, 4241, 5936, 3780, 3040, 2960, 1477, 4420, 1981, 5149, 3339, 2276, 4693, 5630]","[True, False, True, True, True, True, False, True, False, True, True, False, True, True, False, False, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, True, True, False, True, True, True, False, True, True, False, True, True, True, True, False, True, True, True, False, True, False, True, True, True, False, False, False, False, True, True, True, False, True]",4
46,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 14, 31, 32, 34, 35, 43, 49, 55, 56, 60, 63, 94]","[4068, 2547, 2304, 4343, 3823, 4979, 4858, 5565, 5285, 5504, 1725, 1502, 1953, 2729, 994, 3141, 3779, 5590, 4860, 2173, 6330]","[True, True, False, True, True, False, True, False, True, True, False, True, True, True, False, False, False, False, False, False, False, True, True, True, True, True, False, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",0
